numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;num_protocolo_aax;data;valor;cpf_cnpj;nome_razaosocial
54;2025;Pregão Eletrônico (Lei Federal 14.133/2021);5;6510;84292;Pinça, TIPO: Garras, Com manopla para extração de corpo estranho por endoscopia reprocessável e autoclavável, Conjunto formado por cabeça rotatória, com 3 ou 4 fios em garra com abertura/diâmetro de, no mínimo, 25 mm, comprimento total da peça de, no mínimo, 230 cm, diâmetro compatível com canais de 2,8 mm, Manopla compatível com o uso com formato ergonômico e resistente ao manuseio, EMBALAGEM: Resistente, que permita a abertura com exposição adequada do produto, contendo registro no MS, dados de identificação, procedência, fabricação, e quando aplicável, o método de esterilização, Produto deve possuir registro/notificação/cadastro vigente/regular no Ministério da Saúde, Empresa deve possuir AFE e Licença Sanitária regulares, UNID. DE MEDIDA: Unitário;225306656;2025-05-22;1485.0000;30870625000175;ALD DISTRIBUIDORA E REPRESENTACAO HOSPITALAR LTDA
54;2025;Pregão Eletrônico (Lei Federal 14.133/2021);7;6510;84283;Escova descartável para limpeza de abertura de canais de trabalho de gastroscópios e colonoscópios, Produto com escova com cerdas flexíveis e macias, de diâmetro compatível com canais de trabalho de 2.8 a 3.7 e no mínimo 50 mm de comprimento, Comprimento total mínimo de 80 mm, Material com pontas/extremidades bem acabadas e/ou com proteção, não causando ranhuras/danos no endoscópio, EMBALAGEM: Resistente, que permita a abertura com exposição adequada do produto, contendo registro no MS, dados de identificação, procedência, fabricação, e quando aplicável, o método de esterilização, Produto deve possuir registro/notificação/cadastro vigente/regular no Ministério da Saúde, Empresa deve possuir AFE e Licença Sanitária regulares, UNID. DE MEDIDA: Unitário;225306656;2025-05-22;24.7500;59233783000449;STERIS SOLUTIONS DO BRASIL IMPORTACAO E COMERCIALIZACAO DE PRODUTOS DA SAUDE LTDA.
162;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;6515;48337;Medidor , De Icterícia (Bilirrubinômetro) Utilizado em pacientes neonatos, o aparelho deve fornecer uma estimativa dos níveis de bilirrubina de forma não invasiva, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;239473962;2025-05-26;24491.0000;55983274000130;OLIDEF CZ IND E COM DE APARELHOS HOSPITALARES LTDA
162;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;6603;14457;"Estufa, Bacteriológica, DIMENSÃO: L= 50 x A= 60 x C= 50 cm, CAPACIDADE: 150 Litros, Estrutura interna em aço inox AISI 430 e externa em chapa de aço carbono SAE, Tratamento anticorrosivo e pintura eletrostática a pó; Porta interna em vidro transparente e moldura em aço inox, Porta externa em chapa de aço carbono com tratamento anticorrosivo e pintura eletrostática a pó e internamente em aço inox com guarnição magnética em todo o perímetro e puxador injetado; Isolamento térmico tanto na porta quanto nas demais estruturas de forma que proporcione isolamento térmico e de alto rendimento, TEMPERATURA: Regulável de 15ºC (temp. ambiente) a 60ºC; com precisão de 0,3ºC, ESPECIFICAÇÃO: Controle de pressão interna (respiro) por meio de painel giratório e regulável situado no topo da estufa; Painel digital microprocessado com sistema PID, Indicação digital com 04 dígitos e com sensor de temperatura; Chave de acionamento luminoso com botão liga/desliga; Circulação de ar forçado que garante a perfeita homogeneização da temperatura; Resistências em aço inox ou níquel cromo; Fusível de segurança, 220V, CARACTERÍSTICAS ADICIONAIS: Acompanha cabo de força, pés de borracha e manual. Assistência técnica em Curitiba, UNID. DE MEDIDA: Unitário";239473962;2025-05-26;4830.0000;22627453000185;A C L ASSIST E COM DE PROD PARA LABORATÓRIOS LTDA
219;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;5103;71720;Broca, MATERIAL: Aço rápido, DIÂMETRO: 8mm, UNID. DE MEDIDA: Unitário;226559671;2025-06-05;13.0700;08036508000151;CARIOCA COMERCIO DE PRODUTOS DE LIMPEZA LTDA.
219;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;5103;68472;Jogo de Brocas, USO: Para madeira, COMPOSIÇÃO MÍNIMA: 5 peças com medidas entre 3,0mm a 8,0mm, UNID. DE MEDIDA: Unitário;226559671;2025-06-05;60.6800;08036508000151;CARIOCA COMERCIO DE PRODUTOS DE LIMPEZA LTDA.
219;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;5103;71723;Broca Videa, USO: Para concreto, DIÂMETRO: 8mm, UNID. DE MEDIDA: Unitário;226559671;2025-06-05;8.3800;08036508000151;CARIOCA COMERCIO DE PRODUTOS DE LIMPEZA LTDA.
219;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;5301;76296;Parafuso, TIPO: Philips, cabeça chata, USO: Para madeira, MATERIAL: Aço, DIMENSÃO: 3,5mm x 25mm, EMBALAGEM: Pacote com 50 unidades, UNID. DE MEDIDA: Unitário;226559671;2025-06-05;44.4700;08036508000151;CARIOCA COMERCIO DE PRODUTOS DE LIMPEZA LTDA.
156;2025;Pregão Eletrônico (Lei Federal 14.133/2021);4;6501;100716;ASCIMINIBE, 40 MG, Comprimido revestido, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;241354792;2025-06-11;362.1900;56994502002779;NOVARTIS BIOCIENCIAS S/A
217;2025;Pregão Eletrônico (Lei Federal 14.133/2021);11;6502;19788;Rivastigmina, 9mg, Adesivo, Envelope, VIA DE ADMINISTRAÇÃO: Transdérmica, PORTARIA 344/98: C1, UNID. DE MEDIDA: Unitário;242282612;2025-07-04;8.0400;05782733000149;CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA
632;2025;Pregão Eletrônico (Lei Federal 14.133/2021);16;6510;84693;Cateter, TIPO: Angiográfico para diagnóstico, APRESENTAÇÃO: Calibre 5FR, ponta mamária interna left, comprimento mínimo de 100cm, tolerância mínima à pressão de 900 PSI, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;233900060;2025-08-04;31.1800;08862233000105;SMT IMPORTADORA E DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA.
632;2025;Pregão Eletrônico (Lei Federal 14.133/2021);17;6510;84702;Cateter, TIPO: Angiográfico para diagnóstico, APRESENTAÇÃO: Calibre 5FR, ponta judkins ou femoral right 3,5, comprimento mínimo de 100cm, tolerância mínima à pressão de 900 PSI, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;233900060;2025-08-04;65.0000;41882082000122;BERMEDICS PRODUTOS MEDICOS HOSPITALARES LTDA
632;2025;Pregão Eletrônico (Lei Federal 14.133/2021);14;6510;84741;Cateter, TIPO: Angiográfico para diagnóstico, APRESENTAÇÃO: Calibre 5FR, ponta vertebral, comprimento mínimo de 100cm, tolerância mínima à pressão de 900 PSI, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;233900060;2025-08-04;31.1800;08862233000105;SMT IMPORTADORA E DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA.
412;2025;Pregão Eletrônico (Lei Federal 14.133/2021);12;7303;76021;Kit: Garfo, Faca, Colher de sobremesa e Guardanapo, Descartável, EMBALAGEM: Individual, UNID. DE MEDIDA: Unitário;232567783;2025-08-07;0.4600;41730450000117;DAMAZIO LICITACOES E SERVICOS LTDA
412;2025;Pregão Eletrônico (Lei Federal 14.133/2021);20;7303;76021;Kit: Garfo, Faca, Colher de sobremesa e Guardanapo, Descartável, EMBALAGEM: Individual, UNID. DE MEDIDA: Unitário;232567783;2025-08-07;0.4600;41730450000117;DAMAZIO LICITACOES E SERVICOS LTDA
487;2025;Pregão Eletrônico (Lei Federal 14.133/2021);5;6501;1305;Filgrastim, 300 mcg, Solução injetável, Frasco-ampola, VIA DE ADMINISTRAÇÃO: Subcutânea/Intravenosa, UNID. DE MEDIDA: Unitário;233064491;2025-08-11;36.3600;81706251000198;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA
